region,island,lon,lat,year,month,day,date,date_r,coral_cover
NWHI,French_Frigate,-166.0627,23.71491,2011,7,27,2011-07-27T10:00:00Z,2011-07-27,0.023778658360242844
NWHI,French_Frigate,-166.2752,23.87731,2024,8,8,2024-08-08T10:00:00Z,2024-08-08,0.3302564322948456
NWHI,French_Frigate,-166.1205,23.68616,2012,8,4,2012-08-04T10:00:00Z,2012-08-04,0.12140706926584244
NWHI,French_Frigate,-166.2194,23.64612,2015,7,30,2015-07-30T10:00:00Z,2015-07-30,0.43158939480781555
NWHI,French_Frigate,-166.0711,23.68261,2014,8,15,2014-08-15T10:00:00Z,2014-08-15,0.036853644996881485
NWHI,French_Frigate,-166.1962,23.6434,2017,9,10,2017-09-10T10:00:00Z,2017-09-10,0.35393670201301575
NWHI,French_Frigate,-166.2807,23.87875,2014,8,14,2014-08-14T10:00:00Z,2014-08-14,0.3302564322948456
NWHI,French_Frigate,-166.2985,23.87323,2010,9,7,2010-09-07T10:00:00Z,2010-09-07,0.40568357706069946
NWHI,French_Frigate,-166.3005,23.85632,2012,8,5,2012-08-05T10:00:00Z,2012-08-05,0.42427846789360046
NWHI,French_Frigate,-166.2941,23.87396,2017,9,9,2017-09-09T10:00:00Z,2017-09-09,0.26900026202201843
NWHI,French_Frigate,-166.1145,23.62947,2024,8,10,2024-08-10T10:00:00Z,2024-08-10,0.052701760083436966
NWHI,French_Frigate,-166.1576,23.63446,2024,8,10,2024-08-10T10:00:00Z,2024-08-10,0.15232789516448975
NWHI,French_Frigate,-166.1074,23.63347,2014,8,15,2014-08-15T10:00:00Z,2014-08-15,0.052701760083436966
NWHI,French_Frigate,-166.1481,23.8484,2024,8,9,2024-08-09T10:00:00Z,2024-08-09,0.0940856784582138
NWHI,French_Frigate,-166.21190000000001,23.81043,2024,8,11,2024-08-11T10:00:00Z,2024-08-11,0.2770386040210724
NWHI,French_Frigate,-166.0637,23.69576,2011,7,27,2011-07-27T10:00:00Z,2011-07-27,0.015698350965976715
NWHI,French_Frigate,-166.1736,23.77544,2016,9,27,2016-09-27T10:00:00Z,2016-09-27,0.21523645520210266
NWHI,French_Frigate,-166.1443,23.79199,2016,9,27,2016-09-27T10:00:00Z,2016-09-27,0.13233034312725067
NWHI,French_Frigate,-166.3284,23.85287,2024,8,8,2024-08-08T10:00:00Z,2024-08-08,0.5385026931762695
NWHI,French_Frigate,-166.0681,23.77938,2024,8,9,2024-08-09T10:00:00Z,2024-08-09,0.0236594807356596
NWHI,French_Frigate,-166.1233,23.83651,2024,8,9,2024-08-09T10:00:00Z,2024-08-09,0.04689415171742439
NWHI,French_Frigate,-166.3206,23.85989,2010,9,8,2010-09-08T10:00:00Z,2010-09-08,0.4862614870071411
NWHI,French_Frigate,-166.2537,23.80577,2016,9,3,2016-09-03T10:00:00Z,2016-09-03,0.38414913415908813
NWHI,French_Frigate,-166.2036,23.65481,2017,9,10,2017-09-10T10:00:00Z,2017-09-10,0.35626083612442017
NWHI,French_Frigate,-166.2092,23.65411,2017,9,26,2017-09-26T10:00:00Z,2017-09-26,0.3935262858867645
NWHI,French_Frigate,-166.0883,23.81054,2024,8,9,2024-08-09T10:00:00Z,2024-08-09,0.03658593073487282
NWHI,French_Frigate,-166.2337,23.88211,2010,9,7,2010-09-07T10:00:00Z,2010-09-07,0.20532022416591644
NWHI,French_Frigate,-166.2588,23.84763,2010,9,8,2010-09-08T10:00:00Z,2010-09-08,0.2319018393754959
NWHI,French_Frigate,-166.1591,23.65882,2010,9,9,2010-09-09T10:00:00Z,2010-09-09,0.2231152355670929
